iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,lat,long
ZWE,Zimbabwe,30-04-2020,40,8,4,0,-19.015438,29.154857
ZMB,Zambia,30-04-2020,97,2,3,0,-13.133897,27.849332
VNM,Vietnam,30-04-2020,270,0,0,0,14.058324,108.277199
VIR,United States Virgin Islands,30-04-2020,66,7,4,0,,
VAT,Vatican,30-04-2020,10,1,0,0,,
USA,United States,30-04-2020,1039909,27326,60966,2611,37.09024,-95.712891
UKR,Ukraine,30-04-2020,9866,456,250,11,48.379433,31.16558
UGA,Uganda,30-04-2020,81,2,0,0,1.373333,32.290275
THA,Thailand,30-04-2020,2954,16,54,0,15.870032,100.992541
TGO,Togo,30-04-2020,109,10,7,1,8.619543,0.824782
SYR,Syria,30-04-2020,43,0,3,0,34.802075,38.996815
SGP,Singapore,30-04-2020,15641,690,14,0,1.352083,103.819836
SDN,Sudan,30-04-2020,375,57,28,3,12.862807,30.217636
SAU,Saudi Arabia,30-04-2020,21402,1325,157,5,23.885942,45.079162
RUS,Russia,30-04-2020,99399,5841,972,105,61.52401,105.318756
QAT,Qatar,30-04-2020,12564,643,10,0,25.354826,51.183884
POL,Poland,30-04-2020,12640,422,624,28,51.919438,19.145136
